OBJECTID,break_date,pipe_size,pipe_depth_ft,soil_type,repair_time_minutes
198,1970/01/01 00:00:00+00,NA,NA,NA,NA
199,1970/01/01 00:00:00+00,NA,NA,NA,NA
200,1970/01/01 00:00:00+00,NA,NA,NA,NA
201,1970/01/01 00:00:00+00,NA,NA,NA,NA
202,1970/01/01 00:00:00+00,NA,NA,NA,NA
205,1970/01/01 00:00:00+00,NA,NA,NA,NA
206,1970/01/01 00:00:00+00,NA,NA,NA,NA
216,1970/01/01 00:00:00+00,NA,NA,NA,NA
227,1970/01/01 00:00:00+00,NA,NA,NA,NA
230,1970/01/01 00:00:00+00,NA,NA,NA,NA
231,1970/01/01 00:00:00+00,NA,NA,NA,NA
232,1970/01/01 00:00:00+00,NA,NA,NA,NA
234,1970/01/01 00:00:00+00,NA,NA,NA,NA
235,1970/01/01 00:00:00+00,NA,NA,NA,NA
238,1970/01/01 00:00:00+00,NA,NA,NA,NA
239,1970/01/01 00:00:00+00,NA,NA,NA,NA
240,1970/01/01 00:00:00+00,NA,NA,NA,NA
241,1970/01/01 00:00:00+00,NA,NA,NA,NA
242,1970/01/01 00:00:00+00,NA,NA,NA,NA
243,1970/01/01 00:00:00+00,NA,NA,NA,NA
244,1970/01/01 00:00:00+00,NA,NA,NA,NA
245,1970/01/01 00:00:00+00,NA,NA,NA,NA
247,1970/01/01 00:00:00+00,NA,NA,NA,NA
248,1970/01/01 00:00:00+00,NA,NA,NA,NA
252,1970/01/01 00:00:00+00,NA,NA,NA,NA
253,1970/01/01 00:00:00+00,NA,NA,NA,NA
255,1970/01/01 00:00:00+00,NA,NA,NA,NA
256,1970/01/01 00:00:00+00,NA,NA,NA,NA
257,1970/01/01 00:00:00+00,NA,NA,NA,NA
258,1970/01/01 00:00:00+00,NA,NA,NA,NA
262,1970/01/01 00:00:00+00,NA,NA,NA,NA
263,1970/01/01 00:00:00+00,NA,NA,NA,NA
264,1970/01/01 00:00:00+00,NA,NA,NA,NA
265,1970/01/01 00:00:00+00,NA,NA,NA,NA
268,1970/01/01 00:00:00+00,NA,NA,NA,NA
269,1970/01/01 00:00:00+00,NA,NA,NA,NA
270,1970/01/01 00:00:00+00,NA,NA,NA,NA
272,1970/01/01 00:00:00+00,NA,NA,NA,NA
275,1970/01/01 00:00:00+00,NA,NA,NA,NA
276,1970/01/01 00:00:00+00,NA,NA,NA,NA
277,1970/01/01 00:00:00+00,NA,NA,NA,NA
278,1970/01/01 00:00:00+00,NA,NA,NA,NA
280,1970/01/01 00:00:00+00,NA,NA,NA,NA
281,1970/01/01 00:00:00+00,NA,NA,NA,NA
282,1970/01/01 00:00:00+00,NA,NA,NA,NA
283,1970/01/01 00:00:00+00,NA,NA,NA,NA
284,1970/01/01 00:00:00+00,NA,NA,NA,NA
285,1970/01/01 00:00:00+00,NA,NA,NA,NA
286,1970/01/01 00:00:00+00,NA,NA,NA,NA
287,1970/01/01 00:00:00+00,NA,NA,NA,NA
288,1970/01/01 00:00:00+00,NA,NA,NA,NA
289,1970/01/01 00:00:00+00,NA,NA,NA,NA
290,1970/01/01 00:00:00+00,NA,NA,NA,NA
291,1970/01/01 00:00:00+00,NA,NA,NA,NA
295,1970/01/01 00:00:00+00,NA,NA,NA,NA
296,1970/01/01 00:00:00+00,NA,NA,NA,NA
297,1970/01/01 00:00:00+00,NA,NA,NA,NA
298,1970/01/01 00:00:00+00,NA,NA,NA,NA
299,1970/01/01 00:00:00+00,NA,NA,NA,NA
300,1970/01/01 00:00:00+00,NA,NA,NA,NA
301,1970/01/01 00:00:00+00,NA,NA,NA,NA
302,1970/01/01 00:00:00+00,NA,NA,NA,NA
303,1970/01/01 00:00:00+00,NA,NA,NA,NA
304,1970/01/01 00:00:00+00,NA,NA,NA,NA
305,1970/01/01 00:00:00+00,NA,NA,NA,NA
306,1970/01/01 00:00:00+00,NA,NA,NA,NA
307,1970/01/01 00:00:00+00,NA,NA,NA,NA
308,1970/01/01 00:00:00+00,NA,NA,NA,NA
309,1970/01/01 00:00:00+00,NA,NA,NA,NA
310,1970/01/01 00:00:00+00,NA,NA,NA,NA
311,1970/01/01 00:00:00+00,NA,NA,NA,NA
312,1970/01/01 00:00:00+00,NA,NA,NA,NA
313,1970/01/01 00:00:00+00,NA,NA,NA,NA
314,1970/01/01 00:00:00+00,NA,NA,NA,NA
315,1970/01/01 00:00:00+00,NA,NA,NA,NA
316,1970/01/01 00:00:00+00,NA,NA,NA,NA
317,1970/01/01 00:00:00+00,NA,NA,NA,NA
318,1970/01/01 00:00:00+00,NA,NA,NA,NA
319,1970/01/01 00:00:00+00,NA,NA,NA,NA
320,1970/01/01 00:00:00+00,NA,NA,NA,NA
321,1970/01/01 00:00:00+00,NA,NA,NA,NA
322,1970/01/01 00:00:00+00,NA,NA,NA,NA
323,1970/01/01 00:00:00+00,NA,NA,NA,NA
324,1970/01/01 00:00:00+00,NA,NA,NA,NA
325,1970/01/01 00:00:00+00,NA,NA,NA,NA
328,1970/01/01 00:00:00+00,NA,NA,NA,NA
332,1970/01/01 00:00:00+00,NA,NA,NA,NA
333,1970/01/01 00:00:00+00,NA,NA,NA,NA
334,1970/01/01 00:00:00+00,NA,NA,NA,NA
335,1970/01/01 00:00:00+00,NA,NA,NA,NA
336,1970/01/01 00:00:00+00,NA,NA,NA,NA
337,1970/01/01 00:00:00+00,NA,NA,NA,NA
338,1970/01/01 00:00:00+00,NA,NA,NA,NA
345,1970/01/01 00:00:00+00,NA,NA,NA,NA
346,1970/01/01 00:00:00+00,NA,NA,NA,NA
347,1970/01/01 00:00:00+00,NA,NA,NA,NA
348,1970/01/01 00:00:00+00,NA,NA,NA,NA
358,1970/01/01 00:00:00+00,NA,NA,NA,NA
359,1970/01/01 00:00:00+00,NA,NA,NA,NA
361,1970/01/01 00:00:00+00,NA,NA,NA,NA
363,1970/01/01 00:00:00+00,NA,NA,NA,NA
364,1970/01/01 00:00:00+00,NA,NA,NA,NA
365,1970/01/01 00:00:00+00,NA,NA,NA,NA
366,1970/01/01 00:00:00+00,NA,NA,NA,NA
367,1970/01/01 00:00:00+00,NA,NA,NA,NA
368,1970/01/01 00:00:00+00,NA,NA,NA,NA
369,1970/01/01 00:00:00+00,NA,NA,NA,NA
370,1970/01/01 00:00:00+00,NA,NA,NA,NA
371,1970/01/01 00:00:00+00,NA,NA,NA,NA
372,1970/01/01 00:00:00+00,NA,NA,NA,NA
373,1970/01/01 00:00:00+00,NA,NA,NA,NA
374,1970/01/01 00:00:00+00,NA,NA,NA,NA
375,1970/01/01 00:00:00+00,NA,NA,NA,NA
376,1970/01/01 00:00:00+00,NA,NA,NA,NA
377,1970/01/01 00:00:00+00,NA,NA,NA,NA
378,1970/01/01 00:00:00+00,NA,NA,NA,NA
381,1970/01/01 00:00:00+00,NA,NA,NA,NA
382,1970/01/01 00:00:00+00,NA,NA,NA,NA
383,1970/01/01 00:00:00+00,NA,NA,NA,NA
385,1970/01/01 00:00:00+00,NA,NA,NA,NA
395,1970/01/01 00:00:00+00,NA,NA,NA,NA
396,1970/01/01 00:00:00+00,NA,NA,NA,NA
397,1970/01/01 00:00:00+00,NA,NA,NA,NA
401,1970/01/01 00:00:00+00,NA,NA,NA,NA
402,1970/01/01 00:00:00+00,NA,NA,NA,NA
404,1970/01/01 00:00:00+00,NA,NA,NA,NA
405,1970/01/01 00:00:00+00,NA,NA,NA,NA
411,1970/01/01 00:00:00+00,NA,NA,NA,NA
412,1970/01/01 00:00:00+00,NA,NA,NA,NA
413,1970/01/01 00:00:00+00,NA,NA,NA,NA
414,1970/01/01 00:00:00+00,NA,NA,NA,NA
415,1970/01/01 00:00:00+00,NA,NA,NA,NA
416,1970/01/01 00:00:00+00,NA,NA,NA,NA
417,1970/01/01 00:00:00+00,NA,NA,NA,NA
418,1970/01/01 00:00:00+00,NA,NA,NA,NA
419,1970/01/01 00:00:00+00,NA,NA,NA,NA
420,1970/01/01 00:00:00+00,NA,NA,NA,NA
421,1970/01/01 00:00:00+00,NA,NA,NA,NA
422,1970/01/01 00:00:00+00,NA,NA,NA,NA
423,1970/01/01 00:00:00+00,NA,NA,NA,NA
426,1970/01/01 00:00:00+00,NA,NA,NA,NA
427,1970/01/01 00:00:00+00,NA,NA,NA,NA
428,1970/01/01 00:00:00+00,NA,NA,NA,NA
429,1970/01/01 00:00:00+00,NA,NA,NA,NA
430,1970/01/01 00:00:00+00,NA,NA,NA,NA
431,1970/01/01 00:00:00+00,NA,NA,NA,NA
432,1970/01/01 00:00:00+00,NA,NA,NA,NA
433,1970/01/01 00:00:00+00,NA,NA,NA,NA
442,1970/01/01 00:00:00+00,NA,NA,NA,NA
443,1970/01/01 00:00:00+00,NA,NA,NA,NA
444,1970/01/01 00:00:00+00,NA,NA,NA,NA
445,1970/01/01 00:00:00+00,NA,NA,NA,NA
449,1970/01/01 00:00:00+00,NA,NA,NA,NA
450,1970/01/01 00:00:00+00,NA,NA,NA,NA
451,1970/01/01 00:00:00+00,NA,NA,NA,NA
452,1970/01/01 00:00:00+00,NA,NA,NA,NA
453,1970/01/01 00:00:00+00,NA,NA,NA,NA
454,1970/01/01 00:00:00+00,NA,NA,NA,NA
455,1970/01/01 00:00:00+00,NA,NA,NA,NA
456,1970/01/01 00:00:00+00,NA,NA,NA,NA
457,1970/01/01 00:00:00+00,NA,NA,NA,NA
458,1970/01/01 00:00:00+00,NA,NA,NA,NA
459,1970/01/01 00:00:00+00,NA,NA,NA,NA
460,1970/01/01 00:00:00+00,NA,NA,NA,NA
461,1970/01/01 00:00:00+00,NA,NA,NA,NA
462,1970/01/01 00:00:00+00,NA,NA,NA,NA
475,1970/01/01 00:00:00+00,NA,NA,NA,NA
476,1970/01/01 00:00:00+00,NA,NA,NA,NA
477,1970/01/01 00:00:00+00,NA,NA,NA,NA
478,1970/01/01 00:00:00+00,NA,NA,NA,NA
479,1970/01/01 00:00:00+00,NA,NA,NA,NA
482,1970/01/01 00:00:00+00,NA,NA,NA,NA
485,1970/01/01 00:00:00+00,NA,NA,NA,NA
487,1970/01/01 00:00:00+00,NA,NA,NA,NA
488,1970/01/01 00:00:00+00,NA,NA,NA,NA
489,1970/01/01 00:00:00+00,NA,NA,NA,NA
490,1970/01/01 00:00:00+00,NA,NA,NA,NA
491,1970/01/01 00:00:00+00,NA,NA,NA,NA
492,1970/01/01 00:00:00+00,NA,NA,NA,NA
493,1970/01/01 00:00:00+00,NA,NA,NA,NA
495,1970/01/01 00:00:00+00,NA,NA,NA,NA
497,1970/01/01 00:00:00+00,NA,NA,NA,NA
498,1970/01/01 00:00:00+00,NA,NA,NA,NA
499,1970/01/01 00:00:00+00,NA,NA,NA,NA
500,1970/01/01 00:00:00+00,NA,NA,NA,NA
508,1970/01/01 00:00:00+00,NA,NA,NA,NA
509,1970/01/01 00:00:00+00,NA,NA,NA,NA
510,1970/01/01 00:00:00+00,NA,NA,NA,NA
511,1970/01/01 00:00:00+00,NA,NA,NA,NA
512,1970/01/01 00:00:00+00,NA,NA,NA,NA
513,1970/01/01 00:00:00+00,NA,NA,NA,NA
514,1970/01/01 00:00:00+00,NA,NA,NA,NA
515,1970/01/01 00:00:00+00,NA,NA,NA,NA
516,1970/01/01 00:00:00+00,NA,NA,NA,NA
517,1970/01/01 00:00:00+00,NA,NA,NA,NA
518,1970/01/01 00:00:00+00,NA,NA,NA,NA
519,1970/01/01 00:00:00+00,NA,NA,NA,NA
520,1970/01/01 00:00:00+00,NA,NA,NA,NA
522,1970/01/01 00:00:00+00,NA,NA,NA,NA
523,1970/01/01 00:00:00+00,NA,NA,NA,NA
525,1970/01/01 00:00:00+00,NA,NA,NA,NA
526,1970/01/01 00:00:00+00,NA,NA,NA,NA
527,1970/01/01 00:00:00+00,NA,NA,NA,NA
531,1970/01/01 00:00:00+00,NA,NA,NA,NA
532,1970/01/01 00:00:00+00,NA,NA,NA,NA
533,1970/01/01 00:00:00+00,NA,NA,NA,NA
534,1970/01/01 00:00:00+00,NA,NA,NA,NA
535,1970/01/01 00:00:00+00,NA,NA,NA,NA
536,1970/01/01 00:00:00+00,NA,NA,NA,NA
