planet,method,year,number,radius,mass,facility
HD 222076 b,Radial Velocity,2016,1,NA,495.8148,Multiple Observatories
HD 222155 b,Radial Velocity,2011,1,NA,673.7996,Haute-Provence Observatory
HD 222582 b,Radial Velocity,1999,1,NA,2660.2371,W. M. Keck Observatory
HD 224538 b,Radial Velocity,2016,1,NA,1897.4451,Multiple Observatories
HD 224693 b,Radial Velocity,2006,1,NA,222.481,W. M. Keck Observatory
HD 22781 b,Radial Velocity,2011,1,NA,4338.2,Haute-Provence Observatory
HD 23079 b,Radial Velocity,2001,1,NA,829.5363,Anglo-Australian Telescope
HD 23127 b,Radial Velocity,2006,1,NA,485.32641,Anglo-Australian Telescope
HD 231701 b,Radial Velocity,2007,1,NA,359.1479,W. M. Keck Observatory
HD 233604 b,Radial Velocity,2013,1,NA,2089.644,McDonald Observatory
HD 233832 b,Radial Velocity,2018,1,NA,565.7374,Roque de los Muchachos Observatory
HD 23472 b,Transit,2019,2,NA,17.92,Transiting Exoplanet Survey Satellite (TESS)
HD 23472 c,Transit,2019,2,NA,17.18,Transiting Exoplanet Survey Satellite (TESS)
HD 23596 b,Radial Velocity,2003,1,NA,2870.0049,Haute-Provence Observatory
HD 238914 b,Radial Velocity,2018,1,NA,1906.98,Multiple Observatories
HD 240210 b,Radial Velocity,2009,1,NA,1655.82,McDonald Observatory
HD 240237 b,Radial Velocity,2011,1,NA,5050.3187,McDonald Observatory
HD 24040 b,Radial Velocity,2006,1,NA,1226.8238,W. M. Keck Observatory
HD 24064 b,Radial Velocity,2015,1,NA,4096.8287,Bohyunsan Optical Astronomical Observatory
HD 24085 b,Radial Velocity,2019,1,NA,11.8,Las Campanas Observatory
HD 25015 b,Radial Velocity,2019,1,NA,1423.8784,La Silla Observatory
HD 25171 b,Radial Velocity,2010,1,NA,290.81445,La Silla Observatory
HD 2638 b,Radial Velocity,2005,1,NA,133.4886,La Silla Observatory
HD 2685 b,Transit,2019,1,16.141,371.8611,Transiting Exoplanet Survey Satellite (TESS)
HD 26965 b,Radial Velocity,2018,1,NA,8.47,Multiple Observatories
HD 27442 b,Radial Velocity,2000,1,NA,495.8,Anglo-Australian Telescope
HD 27631 b,Radial Velocity,2012,1,NA,474.83802,La Silla Observatory
HD 27894 b,Radial Velocity,2005,3,NA,211.35695,La Silla Observatory
HD 27894 c,Radial Velocity,2017,3,NA,51.48846,La Silla Observatory
HD 27894 d,Radial Velocity,2017,3,NA,1721.04945,La Silla Observatory
HD 28185 b,Radial Velocity,2001,1,NA,1875.197,La Silla Observatory
HD 28254 b,Radial Velocity,2010,1,NA,368.67,La Silla Observatory
HD 285507 b,Radial Velocity,2013,1,NA,311.4734,Fred Lawrence Whipple Observatory
HD 285968 b,Radial Velocity,2008,1,NA,8.4,La Silla Observatory
HD 28678 b,Radial Velocity,2011,1,NA,490.09386,W. M. Keck Observatory
HD 29021 b,Radial Velocity,2017,1,NA,762.792,Haute-Provence Observatory
HD 290327 b,Radial Velocity,2009,1,NA,772.3269,La Silla Observatory
HD 2952 b,Radial Velocity,2013,1,NA,435.4271,Okayama Astrophysical Observatory
HD 30177 b,Radial Velocity,2002,2,NA,2740.33026,Anglo-Australian Telescope
HD 30177 c,Radial Velocity,2016,2,NA,2415.508,Multiple Observatories
HD 30562 b,Radial Velocity,2009,1,NA,387.7526,Lick Observatory
HD 30669 b,Radial Velocity,2014,1,NA,149.37,La Silla Observatory
HD 30856 b,Radial Velocity,2011,1,NA,491.68301,W. M. Keck Observatory
HD 31253 b,Radial Velocity,2010,1,NA,197.0546,W. M. Keck Observatory
HD 31527 b,Radial Velocity,2019,3,NA,10.47,La Silla Observatory
HD 31527 c,Radial Velocity,2019,3,NA,14.16,La Silla Observatory
HD 31527 d,Radial Velocity,2019,3,NA,11.82,La Silla Observatory
HD 3167 b,Transit,2016,3,1.7,NA,K2
HD 3167 c,Transit,2016,3,2.86,NA,K2
HD 3167 d,Radial Velocity,2017,3,NA,6.9,W. M. Keck Observatory
HD 32518 b,Radial Velocity,2009,1,NA,966.16,Thueringer Landessternwarte Tautenburg
HD 32963 b,Radial Velocity,2015,1,NA,222.481,W. M. Keck Observatory
HD 330075 b,Radial Velocity,2004,1,NA,152.5584,La Silla Observatory
HD 33142 b,Radial Velocity,2011,2,NA,440.19455,W. M. Keck Observatory
HD 33142 c,Radial Velocity,2018,2,NA,1897.4451,W. M. Keck Observatory
HD 332231 b,Transit,2020,1,9.718,77.55052,Transiting Exoplanet Survey Satellite (TESS)
HD 33283 b,Radial Velocity,2006,1,NA,104.56607,W. M. Keck Observatory
HD 33564 b,Radial Velocity,2005,1,NA,2892.1,Haute-Provence Observatory
HD 33844 b,Radial Velocity,2015,2,NA,638.8383,Anglo-Australian Telescope
HD 33844 c,Radial Velocity,2015,2,NA,556.2025,Anglo-Australian Telescope
HD 34445 b,Radial Velocity,2009,6,NA,260.6206,W. M. Keck Observatory
HD 34445 c,Radial Velocity,2017,6,NA,53.5,Multiple Observatories
HD 34445 d,Radial Velocity,2017,6,NA,30.7,Multiple Observatories
HD 34445 e,Radial Velocity,2017,6,NA,16.8,Multiple Observatories
HD 34445 f,Radial Velocity,2017,6,NA,37.9,Multiple Observatories
HD 34445 g,Radial Velocity,2017,6,NA,120.6,Multiple Observatories
HD 35759 b,Radial Velocity,2016,1,NA,1195.0408,Haute-Provence Observatory
HD 3651 b,Radial Velocity,2003,1,NA,72.46524,Multiple Observatories
HD 37124 b,Radial Velocity,2002,3,NA,214.53525,W. M. Keck Observatory
HD 37124 c,Radial Velocity,2002,3,NA,207.22516,W. M. Keck Observatory
HD 37124 d,Radial Velocity,2005,3,NA,221.20968,W. M. Keck Observatory
HD 37605 b,Radial Velocity,2004,2,NA,854.9627,McDonald Observatory
HD 37605 c,Radial Velocity,2012,2,NA,1013.8777,Multiple Observatories
HD 38283 b,Radial Velocity,2010,1,NA,127.132,Anglo-Australian Telescope
HD 38529 b,Radial Velocity,2000,2,NA,253.31051,Multiple Observatories
HD 38529 c,Radial Velocity,2000,2,NA,4128.6117,Multiple Observatories
HD 38801 b,Radial Velocity,2009,1,NA,3082.31534,Subaru Telescope
HD 39091 b,Radial Velocity,2001,2,NA,3184.6566,Anglo-Australian Telescope
HD 39855 b,Radial Velocity,2019,1,NA,8.5,Las Campanas Observatory
HD 40307 b,Radial Velocity,2009,5,NA,4,La Silla Observatory
HD 40307 c,Radial Velocity,2009,5,NA,6.6,La Silla Observatory
HD 40307 d,Radial Velocity,2009,5,NA,9.5,La Silla Observatory
HD 40307 f,Radial Velocity,2013,5,NA,5.2,La Silla Observatory
HD 40307 g,Radial Velocity,2013,5,NA,7.1,La Silla Observatory
HD 40956 b,Radial Velocity,2017,1,NA,858.141,Multiple Observatories
HD 40979 b,Radial Velocity,2002,1,NA,1484.2661,Multiple Observatories
HD 41004 A b,Radial Velocity,2004,2,NA,807.25,La Silla Observatory
HD 41004 B b,Radial Velocity,2003,2,NA,5838.29,La Silla Observatory
HD 4113 b,Radial Velocity,2007,1,NA,495.79,La Silla Observatory
HD 42012 b,Radial Velocity,2017,1,NA,508.528,Haute-Provence Observatory
HD 4203 b,Radial Velocity,2001,2,NA,708.7609,W. M. Keck Observatory
HD 4203 c,Radial Velocity,2014,2,NA,689.66,Gemini Observatory
HD 4208 b,Radial Velocity,2001,1,NA,257.4423,W. M. Keck Observatory
HD 42618 b,Radial Velocity,2016,1,NA,14.4,Multiple Observatories
HD 4308 b,Radial Velocity,2005,1,NA,15.8915,La Silla Observatory
HD 4313 b,Radial Velocity,2009,1,NA,612.45841,W. M. Keck Observatory
HD 43197 b,Radial Velocity,2010,1,NA,190.69,La Silla Observatory
HD 43691 b,Radial Velocity,2007,1,NA,810.4665,Haute-Provence Observatory
HD 44219 b,Radial Velocity,2010,1,NA,184.33,La Silla Observatory
HD 45184 b,Radial Velocity,2019,2,NA,12.19,La Silla Observatory
HD 45184 c,Radial Velocity,2019,2,NA,8.81,La Silla Observatory
HD 45350 b,Radial Velocity,2004,1,NA,568.89,W. M. Keck Observatory
HD 45364 b,Radial Velocity,2008,2,NA,59.4953,La Silla Observatory
HD 45364 c,Radial Velocity,2008,2,NA,209.0915,La Silla Observatory
HD 45652 b,Radial Velocity,2008,1,NA,137.62039,Haute-Provence Observatory
HD 46375 b,Radial Velocity,2000,1,NA,71.8,W. M. Keck Observatory
HD 47186 b,Radial Velocity,2008,2,NA,22.2481,La Silla Observatory
HD 47186 c,Radial Velocity,2008,2,NA,111.42,La Silla Observatory
HD 4732 b,Radial Velocity,2012,2,NA,753.23,Multiple Observatories
HD 4732 c,Radial Velocity,2012,2,NA,753.23,Multiple Observatories
HD 47366 b,Radial Velocity,2016,2,NA,731.009,Okayama Astrophysical Observatory
HD 47366 c,Radial Velocity,2016,2,NA,597.5204,Okayama Astrophysical Observatory
HD 47536 b,Radial Velocity,2002,1,NA,2330,La Silla Observatory
HD 48265 b,Radial Velocity,2008,1,NA,484.69075,Las Campanas Observatory
HD 4917 b,Radial Velocity,2018,1,NA,513.29545,W. M. Keck Observatory
HD 49674 b,Radial Velocity,2002,1,NA,31.783,W. M. Keck Observatory
HD 50499 b,Radial Velocity,2005,2,NA,519.96988,W. M. Keck Observatory
HD 50499 c,Radial Velocity,2019,2,NA,931.2419,La Silla Observatory
HD 50554 b,Radial Velocity,2002,1,NA,1574.464,Lick Observatory
HD 51608 b,Radial Velocity,2019,2,NA,12.77,La Silla Observatory
HD 51608 c,Radial Velocity,2019,2,NA,14.31,La Silla Observatory
HD 52265 b,Radial Velocity,2000,1,NA,384.5743,W. M. Keck Observatory
HD 5319 b,Radial Velocity,2007,2,NA,494.54348,W. M. Keck Observatory
HD 5319 c,Radial Velocity,2014,2,NA,334.67499,W. M. Keck Observatory
HD 55696 b,Radial Velocity,2018,1,NA,1230.0021,W. M. Keck Observatory
HD 5583 b,Radial Velocity,2016,1,NA,1837.0574,Roque de los Muchachos Observatory
HD 5608 b,Radial Velocity,2012,1,NA,534.27223,Okayama Astrophysical Observatory
HD 564 b,Radial Velocity,2014,1,NA,104.88,La Silla Observatory
HD 5891 b,Radial Velocity,2011,1,NA,2425.0429,W. M. Keck Observatory
HD 59686 A b,Radial Velocity,2016,1,NA,2199.3836,Lick Observatory
HD 60532 b,Radial Velocity,2008,2,NA,336.8998,La Silla Observatory
HD 60532 c,Radial Velocity,2008,2,NA,797.7533,La Silla Observatory
HD 62509 b,Radial Velocity,2006,1,NA,731,Multiple Observatories
HD 63454 b,Radial Velocity,2005,1,NA,79.4575,La Silla Observatory
HD 63765 b,Radial Velocity,2009,1,NA,168.4499,La Silla Observatory
HD 64114 b,Radial Velocity,2019,1,NA,17.8,Las Campanas Observatory
HD 6434 b,Radial Velocity,2003,1,NA,155.7367,La Silla Observatory
HD 65216 b,Radial Velocity,2003,2,NA,411.58985,La Silla Observatory
HD 65216 c,Radial Velocity,2013,2,NA,645.1949,La Silla Observatory
HD 66141 b,Radial Velocity,2012,1,NA,1906.9,Bohyunsan Optical Astronomical Observatory
HD 66428 b,Radial Velocity,2005,1,NA,1018.32732,W. M. Keck Observatory
HD 67087 b,Radial Velocity,2015,2,NA,973,Multiple Observatories
HD 67087 c,Radial Velocity,2015,2,NA,1540,Multiple Observatories
HD 6718 b,Radial Velocity,2009,1,NA,533.9544,La Silla Observatory
HD 68402 b,Radial Velocity,2016,1,NA,975.7381,Multiple Observatories
HD 68988 b,Radial Velocity,2001,1,NA,626.1251,Multiple Observatories
HD 69830 b,Radial Velocity,2006,3,NA,10.2,La Silla Observatory
HD 69830 c,Radial Velocity,2006,3,NA,11.8,La Silla Observatory
HD 69830 d,Radial Velocity,2006,3,NA,18.1,La Silla Observatory
HD 70573 b,Radial Velocity,2007,1,NA,1900,La Silla Observatory
HD 70642 b,Radial Velocity,2003,1,NA,633.43519,Anglo-Australian Telescope
HD 7199 b,Radial Velocity,2011,1,NA,85.8141,La Silla Observatory
HD 72490 b,Radial Velocity,2018,1,NA,561.92344,W. M. Keck Observatory
HD 72659 b,Radial Velocity,2002,1,NA,1223.6455,W. M. Keck Observatory
HD 72892 b,Radial Velocity,2016,1,NA,1732.1735,Multiple Observatories
HD 73267 b,Radial Velocity,2008,1,NA,984.31951,La Silla Observatory
HD 73526 b,Radial Velocity,2002,2,NA,978.9164,Anglo-Australian Telescope
HD 73526 c,Radial Velocity,2005,2,NA,715.09,Anglo-Australian Telescope
HD 73534 b,Radial Velocity,2008,1,NA,353.42696,W. M. Keck Observatory
HD 74156 b,Radial Velocity,2003,2,NA,572.07,Haute-Provence Observatory
HD 74156 c,Radial Velocity,2003,2,NA,2561.6,Haute-Provence Observatory
HD 7449 b,Radial Velocity,2011,1,NA,161.45764,La Silla Observatory
HD 75289 b,Radial Velocity,1999,1,NA,155.7367,La Silla Observatory
HD 75784 b,Radial Velocity,2014,2,NA,317.83,W. M. Keck Observatory
HD 75784 c,Radial Velocity,2018,2,NA,1792.5612,W. M. Keck Observatory
HD 75898 b,Radial Velocity,2007,1,NA,861.3193,W. M. Keck Observatory
HD 76700 b,Radial Velocity,2002,1,NA,66.7443,Anglo-Australian Telescope
HD 76920 b,Radial Velocity,2017,1,NA,1249.0719,Multiple Observatories
HD 77338 b,Radial Velocity,2012,1,NA,19.0698,La Silla Observatory
HD 7924 b,Radial Velocity,2008,3,NA,6.3566,W. M. Keck Observatory
HD 7924 c,Radial Velocity,2015,3,NA,7.86,W. M. Keck Observatory
HD 7924 d,Radial Velocity,2015,3,NA,6.44,W. M. Keck Observatory
HD 79498 b,Radial Velocity,2011,1,NA,425.8922,McDonald Observatory
HD 80606 b,Radial Velocity,2001,1,11.994,1392.0954,Multiple Observatories
HD 80653 b,Transit,2020,1,1.613,5.6,K2
HD 81040 b,Radial Velocity,2005,1,NA,2310.6241,Multiple Observatories
HD 81688 b,Radial Velocity,2007,1,NA,858.1,Okayama Astrophysical Observatory
HD 81817 b,Radial Velocity,2020,1,NA,8613.193,Bohyunsan Optical Astronomical Observatory
HD 82886 b,Radial Velocity,2011,1,NA,740.5439,W. M. Keck Observatory
HD 82943 b,Radial Velocity,2003,2,NA,534.25,La Silla Observatory
HD 82943 c,Radial Velocity,2003,2,NA,622.603,La Silla Observatory
HD 8326 b,Radial Velocity,2019,1,NA,66.6,Las Campanas Observatory
HD 83443 b,Radial Velocity,2002,1,NA,108.0622,Multiple Observatories
HD 8535 b,Radial Velocity,2010,1,NA,216.1244,La Silla Observatory
HD 85390 b,Radial Velocity,2009,1,NA,31.46517,La Silla Observatory
HD 85512 b,Radial Velocity,2011,1,NA,3.1783,La Silla Observatory
HD 8574 b,Radial Velocity,2002,1,NA,645.1949,Haute-Provence Observatory
HD 86081 b,Radial Velocity,2006,1,NA,470.3884,W. M. Keck Observatory
HD 86226 b,Radial Velocity,2009,2,NA,143.0235,Las Campanas Observatory
HD 86226 c,Transit,2020,2,2.16,7.25,Transiting Exoplanet Survey Satellite (TESS)
HD 86264 b,Radial Velocity,2009,1,NA,2224.81,Lick Observatory
HD 8673 b,Radial Velocity,2009,1,NA,4513,Thueringer Landessternwarte Tautenburg
HD 86950 b,Radial Velocity,2016,1,NA,1144.188,Multiple Observatories
HD 87646 b,Radial Velocity,2016,1,NA,3941.092,Apache Point Observatory
HD 87883 b,Radial Velocity,2009,1,NA,489.4582,Lick Observatory
HD 88133 b,Radial Velocity,2004,1,NA,90.42263,W. M. Keck Observatory
HD 89307 b,Radial Velocity,2009,1,NA,670.6213,Lick Observatory
HD 89345 b,Transit,2018,1,7.398,34.9613,K2
HD 89744 b,Radial Velocity,1999,1,NA,2653.8805,Fred Lawrence Whipple Observatory
HD 90156 b,Radial Velocity,2009,1,NA,17.98,La Silla Observatory
HD 9174 b,Radial Velocity,2016,1,NA,352.7913,Multiple Observatories
HD 92788 b,Radial Velocity,2000,2,NA,1195.0408,Multiple Observatories
HD 92788 c,Radial Velocity,2019,2,NA,1166.4361,La Silla Observatory
HD 92987 b,Radial Velocity,2019,1,NA,5364.9704,La Silla Observatory
HD 93083 b,Radial Velocity,2005,1,NA,117.59,La Silla Observatory
HD 9446 b,Radial Velocity,2009,2,NA,222.472,Haute-Provence Observatory
HD 9446 c,Radial Velocity,2009,2,NA,578.426,Haute-Provence Observatory
HD 94834 b,Radial Velocity,2018,1,NA,400.4658,W. M. Keck Observatory
HD 95086 b,Imaging,2013,1,NA,1589,Paranal Observatory
HD 95089 b,Radial Velocity,2009,2,NA,400.4658,W. M. Keck Observatory
HD 95089 c,Radial Velocity,2018,2,NA,1096.5135,W. M. Keck Observatory
HD 95127 b,Radial Velocity,2015,1,NA,3378.5329,McDonald Observatory
HD 95338 b,Radial Velocity,2020,1,3.89,42.44,Las Campanas Observatory
HD 95872 b,Radial Velocity,2015,1,NA,1188.6842,Multiple Facilities
HD 96063 b,Radial Velocity,2011,1,NA,403.6441,W. M. Keck Observatory
HD 96127 b,Radial Velocity,2011,1,NA,6661.7168,McDonald Observatory
HD 96167 b,Radial Velocity,2009,1,NA,227.88411,W. M. Keck Observatory
HD 97048 b,Disk Kinematics,2019,1,NA,794.575,Atacama Large Millimeter Array (ALMA)
HD 97658 b,Radial Velocity,2010,1,2.354,9.5349,W. M. Keck Observatory
HD 98219 b,Radial Velocity,2011,1,NA,624.21812,W. M. Keck Observatory
HD 98649 b,Radial Velocity,2012,1,NA,2158.0657,La Silla Observatory
HD 98736 b,Radial Velocity,2018,1,NA,740.5439,W. M. Keck Observatory
HD 99109 b,Radial Velocity,2005,1,NA,139.8452,W. M. Keck Observatory
HD 99492 b,Radial Velocity,2004,1,NA,22.2481,W. M. Keck Observatory
HD 99706 b,Radial Velocity,2011,2,NA,390.9309,W. M. Keck Observatory
HD 99706 c,Radial Velocity,2018,2,NA,1808.4527,W. M. Keck Observatory
HIP 105854 b,Radial Velocity,2014,1,NA,2606.1,Multiple Observatories
HIP 107772 b,Radial Velocity,2020,1,NA,12.9,Multiple Observatories
HIP 107773 b,Radial Velocity,2015,1,NA,629.3034,Multiple Observatories
HIP 109384 b,Radial Velocity,2016,1,NA,495.8148,Haute-Provence Observatory
HIP 109600 b,Radial Velocity,2016,1,NA,851.7844,Haute-Provence Observatory
HIP 116454 b,Transit,2014,1,2.466,12.7132,K2
HIP 12961 b,Radial Velocity,2010,1,NA,114.4188,La Silla Observatory
HIP 14810 b,Radial Velocity,2005,3,NA,1239.537,W. M. Keck Observatory
HIP 14810 c,Radial Velocity,2006,3,NA,416.3573,W. M. Keck Observatory
HIP 14810 d,Radial Velocity,2009,3,NA,187.5197,W. M. Keck Observatory
HIP 35173 b,Radial Velocity,2019,1,NA,12.7,Las Campanas Observatory
HIP 38594 b,Radial Velocity,2020,2,NA,8.1,Multiple Observatories
HIP 38594 c,Radial Velocity,2020,2,NA,48.4,Multiple Observatories
HIP 41378 b,Transit,2016,5,NA,NA,K2
HIP 41378 c,Transit,2016,5,NA,NA,K2
HIP 41378 d,Transit,2016,5,NA,NA,K2
HIP 41378 e,Transit,2016,5,NA,NA,K2
HIP 41378 f,Transit,2016,5,NA,NA,K2
HIP 4845 b,Radial Velocity,2020,1,NA,14.4,Multiple Observatories
HIP 48714 b,Radial Velocity,2020,1,NA,22.9,Multiple Observatories
HIP 5158 b,Radial Velocity,2009,2,NA,451,La Silla Observatory
HIP 5158 c,Radial Velocity,2011,2,NA,4780.1632,La Silla Observatory
HIP 54373 b,Radial Velocity,2019,2,NA,8.62,Las Campanas Observatory
HIP 54373 c,Radial Velocity,2019,2,NA,12.44,Las Campanas Observatory
HIP 57274 b,Radial Velocity,2011,3,NA,6.3566,W. M. Keck Observatory
HIP 57274 c,Radial Velocity,2011,3,NA,130,W. M. Keck Observatory
HIP 57274 d,Radial Velocity,2011,3,NA,167.4,W. M. Keck Observatory
HIP 63242 b,Radial Velocity,2013,1,NA,2917.56,Multiple Observatories
HIP 65 A b,Transit,2020,1,22.754,1021.18779,Transiting Exoplanet Survey Satellite (TESS)
HIP 65407 b,Radial Velocity,2016,2,NA,136.03124,Haute-Provence Observatory
HIP 65407 c,Radial Velocity,2016,2,NA,249.17872,Haute-Provence Observatory
HIP 65426 b,Imaging,2017,1,16.814,2860.47,Paranal Observatory
HIP 65891 b,Radial Velocity,2015,1,NA,1906.98,Multiple Observatories
HIP 67522 b,Transit,2020,1,10.07,NA,Transiting Exoplanet Survey Satellite (TESS)
HIP 67537 b,Radial Velocity,2017,1,NA,3527.913,Multiple Observatories
HIP 67851 b,Radial Velocity,2015,2,NA,438.6054,Multiple Observatories
HIP 67851 c,Radial Velocity,2015,2,NA,1900.6234,Multiple Observatories
HIP 70849 b,Radial Velocity,2009,1,NA,2860,La Silla Observatory
HIP 71135 b,Radial Velocity,2019,1,NA,18.8,Las Campanas Observatory
HIP 74890 b,Radial Velocity,2016,1,NA,762.792,Multiple Observatories
HIP 78530 b,Imaging,2010,1,NA,7300,Gemini Observatory
HIP 79098 AB b,Imaging,2019,1,NA,6515.515,Paranal Observatory
HIP 79431 b,Radial Velocity,2009,1,NA,667.415,W. M. Keck Observatory
HIP 8541 b,Radial Velocity,2016,1,NA,1748.065,Multiple Observatories
HIP 91258 b,Radial Velocity,2013,1,NA,346.4347,Haute-Provence Observatory
HIP 97233 b,Radial Velocity,2014,1,NA,6356.3,Multiple Observatories
HN Peg b,Imaging,2006,1,11.777,6991.57,Spitzer Space Telescope
HR 2562 b,Imaging,2016,1,12.442,9534.9,Gemini Observatory
HR 5183 b,Radial Velocity,2019,1,NA,1026.5909,Multiple Observatories
HR 810 b,Radial Velocity,1999,1,NA,721.4741,La Silla Observatory
HR 858 b,Transit,2019,3,2.085,NA,Transiting Exoplanet Survey Satellite (TESS)
HR 858 c,Transit,2019,3,1.939,NA,Transiting Exoplanet Survey Satellite (TESS)
HR 858 d,Transit,2019,3,2.164,NA,Transiting Exoplanet Survey Satellite (TESS)
HR 8799 b,Imaging,2008,4,13,2000,Gemini Observatory
HR 8799 c,Imaging,2008,4,13,3000,Gemini Observatory
HR 8799 d,Imaging,2008,4,13,3000,W. M. Keck Observatory
HR 8799 e,Imaging,2010,4,13.115,3178.3,W. M. Keck Observatory
HU Aqr AB b,Eclipse Timing Variations,2011,2,NA,1875.197,Yunnan Astronomical Observatory
HU Aqr AB c,Eclipse Timing Variations,2011,2,NA,1430.235,Yunnan Astronomical Observatory
HW Vir b,Eclipse Timing Variations,2012,1,NA,4602.90201,McDonald Observatory
IC 4651 9122 b,Radial Velocity,2018,1,NA,2002.329,La Silla Observatory
K2-10 b,Transit,2015,1,3.84,27,K2
K2-100 b,Transit,2016,1,3.59,NA,K2
K2-101 b,Transit,2016,1,2,NA,K2
K2-102 b,Transit,2016,1,1.3,NA,K2
K2-104 b,Transit,2016,1,1.96,NA,K2
K2-105 b,Transit,2017,1,3.37,NA,K2
K2-107 b,Transit,2017,1,15.98,NA,K2
K2-108 b,Transit,2017,1,5.33,NA,K2
K2-11 b,Transit,2015,1,7.55,NA,K2
K2-110 b,Transit,2017,1,2.56,NA,K2
K2-111 b,Transit,2017,1,1.9,8.6,K2
K2-113 b,Transit,2017,1,12.14,NA,K2
K2-114 b,Transit,2017,1,10.67,NA,K2
K2-115 b,Transit,2017,1,12.06,NA,K2
K2-116 b,Transit,2017,1,0.69,NA,K2
K2-117 b,Transit,2017,2,2.03,NA,K2
K2-117 c,Transit,2017,2,2.06,NA,K2
K2-118 b,Transit,2017,1,2.54,NA,K2
K2-119 b,Transit,2017,1,2.53,NA,K2
K2-12 b,Transit,2015,1,2.33,NA,K2
K2-120 b,Transit,2017,1,2.01,NA,K2
K2-121 b,Transit,2017,1,7.5,NA,K2
K2-122 b,Transit,2017,1,1.21,NA,K2
K2-123 b,Transit,2017,1,2.76,NA,K2
K2-124 b,Transit,2017,1,2.9,NA,K2
K2-125 b,Transit,2017,1,2.18,NA,K2
K2-126 b,Transit,2017,1,1.97,NA,K2
K2-127 b,Transit,2017,1,8.37,NA,K2
K2-128 b,Transit,2017,1,1.42,NA,K2
K2-129 b,Transit,2017,1,1.04,NA,K2
K2-13 b,Transit,2015,1,1.89,NA,K2
K2-130 b,Transit,2017,1,1.25,NA,K2
K2-131 b,Transit,2017,1,1.7,NA,K2
K2-132 b,Transit,2017,1,14.572,155.7367,K2
K2-133 b,Transit,2017,4,1.34,NA,K2
K2-133 c,Transit,2017,4,1.603,NA,K2
K2-133 d,Transit,2017,4,2.003,NA,K2
K2-133 e,Transit,2019,4,1.73,NA,K2
K2-136 b,Transit,2017,3,0.99,NA,K2
K2-136 c,Transit,2017,3,2.91,NA,K2
K2-136 d,Transit,2017,3,1.45,NA,K2
K2-137 b,Transit,2017,1,0.89,158.915,K2
K2-138 b,Transit,2017,5,1.57,NA,K2
K2-138 c,Transit,2017,5,2.52,NA,K2
K2-138 d,Transit,2017,5,2.66,NA,K2
K2-138 e,Transit,2017,5,3.29,NA,K2
K2-138 f,Transit,2017,5,2.81,NA,K2
K2-139 b,Transit,2017,1,9.11,NA,K2
K2-14 b,Transit,2015,1,4.81,NA,K2
K2-140 b,Transit,2017,1,12.25,NA,K2
K2-141 b,Transit,2018,2,1.51,5.08,K2
K2-141 c,Transit,2018,2,7,7.4,K2
K2-146 b,Transit,2018,2,2.05,5.77,K2
K2-146 c,Transit,2019,2,2.19,7.49,K2
K2-147 b,Transit,2018,1,1.38,NA,K2
K2-148 b,Transit,2018,3,1.33,NA,K2
K2-148 c,Transit,2018,3,1.73,NA,K2
K2-148 d,Transit,2018,3,1.64,NA,K2
K2-149 b,Transit,2018,1,1.64,NA,K2
K2-15 b,Transit,2015,1,2.48,NA,K2
K2-150 b,Transit,2018,1,2,NA,K2
K2-151 b,Transit,2018,1,1.49,NA,K2
K2-152 b,Transit,2018,1,2.29,NA,K2
K2-153 b,Transit,2018,1,2,NA,K2
K2-154 b,Transit,2018,2,1.99,NA,K2
K2-154 c,Transit,2018,2,2.07,NA,K2
K2-155 b,Transit,2018,3,1.8,NA,K2
K2-155 c,Transit,2018,3,2.6,NA,K2
K2-155 d,Transit,2018,3,1.9,NA,K2
K2-156 b,Transit,2018,1,1.15,NA,K2
K2-157 b,Transit,2018,1,1.055,NA,K2
K2-158 b,Transit,2018,2,2.64,NA,K2
K2-158 c,Transit,2018,2,1.28,NA,K2
K2-159 b,Transit,2018,1,2.26,NA,K2
K2-16 b,Transit,2015,3,2.02,NA,K2
K2-16 c,Transit,2015,3,2.54,NA,K2
K2-160 b,Transit,2018,1,3.178,NA,K2
K2-161 b,Transit,2018,1,6.117,NA,K2
K2-162 b,Transit,2018,1,1.44,NA,K2
K2-163 b,Transit,2018,1,2.466,NA,K2
K2-164 b,Transit,2018,1,3.249,NA,K2
K2-165 b,Transit,2018,3,1.274,NA,K2
K2-165 c,Transit,2018,3,1.554,NA,K2
K2-165 d,Transit,2018,3,2.648,NA,K2
K2-166 b,Transit,2018,2,2.19,NA,K2
K2-167 b,Transit,2018,1,2.819,NA,K2
K2-168 b,Transit,2018,2,1.86,NA,K2
K2-169 b,Transit,2018,1,1.273,NA,K2
K2-17 b,Transit,2015,1,2.23,NA,K2
K2-170 b,Transit,2018,2,1.418,NA,K2
K2-170 c,Transit,2018,2,1.802,NA,K2
K2-171 b,Transit,2018,1,2.687,NA,K2
K2-172 b,Transit,2018,2,1.666,NA,K2
K2-172 c,Transit,2018,2,3.206,NA,K2
K2-173 b,Transit,2018,1,1.608,NA,K2
K2-174 b,Transit,2018,1,2.6,NA,K2
K2-175 b,Transit,2018,1,2.038,NA,K2
K2-176 b,Transit,2018,1,1.491,NA,K2
K2-177 b,Transit,2018,1,2.116,NA,K2
K2-178 b,Transit,2018,1,3.558,NA,K2
K2-179 b,Transit,2018,1,2.513,NA,K2
K2-18 b,Transit,2015,2,2.37,8.92,K2
